title,rename,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
Canadian Eskimo Dog,,Working,/search/breeds-a-to-z/breeds/working/canadian-eskimo-dog/,/media/2924/canadian-eskimo-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143874980000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Catalan Sheepdog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/catalan-sheepdog/,/media/1441/catalan-sheepdog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140540840000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,No,Medium,Small/ medium garden,Small house,Either,No
Cavalier King Charles Spaniel,,Toy,/search/breeds-a-to-z/breeds/toy/cavalier-king-charles-spaniel/,/media/1612/cavalier-king-charles-spaniel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143803270000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Cesky Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/cesky-terrier/,/media/1538/cesky-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143787020000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Chihuahua (Long Coat),,Toy,/search/breeds-a-to-z/breeds/toy/chihuahua-long-coat/,/media/1615/chihuahua-long-coat-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143803570000000,Medium,Up to 30 minutes per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Chihuahua (Smooth Coat),,Toy,/search/breeds-a-to-z/breeds/toy/chihuahua-smooth-coat/,/media/1618/chihuahua-smooth-coat-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143803960000000,Short,Up to 30 minutes per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Chinese Crested,,Toy,/search/breeds-a-to-z/breeds/toy/chinese-crested/,/media/1619/chinese-crested-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143804090000000,Short,Up to 30 minutes per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Chow Chow,,Utility,/search/breeds-a-to-z/breeds/utility/chow-chow/,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Medium,Up to 1 hour per day,Every day,Under 10 years,Yes,Large,Small/ medium garden,Large house,Country,No
Cirneco Dell'Etna,,Hound,/search/breeds-a-to-z/breeds/hound/cirneco-delletna/,/media/2922/cirneco-delletna-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456080000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Collie (Rough),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/collie-rough/,/media/1446/collie-rough-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140542230000000,Medium,Up to 1 hour per day,Every day,Over 12 years,Yes,Medium,Large garden,Small house,Either,No
Collie (Smooth),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/collie-smooth/,/media/1449/collie-smooth-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140542490000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,Yes
Coton De Tulear,,Toy,/search/breeds-a-to-z/breeds/toy/coton-de-tulear/,/media/1622/coton-de-tulear-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143804460000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Dachshund (Long Haired),,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Dachshund (Miniature Long Haired),,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-miniature-long-haired/,/media/2927/dachshund-miniature-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456720000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Dachshund (Miniature Smooth Haired),,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-miniature-smooth-haired/,/media/2928/dachshund-miniature-smooth-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140457030000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Dachshund (Miniature Wire Haired),,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-miniature-wire-haired/,/media/2929/dachshund-miniature-wire-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140457370000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Dachshund (Smooth Haired),,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-smooth-haired/,/media/2930/dachshund-smooth-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140457740000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Dachshund (Wire Haired),,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-wire-haired/,/media/2933/dachshund-wire-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140458030000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Dalmatian,,Utility,/search/breeds-a-to-z/breeds/utility/dalmatian/,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No
Dandie Dinmont Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/dandie-dinmont-terrier/,/media/1542/dandie-dinmont-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143787450000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,No,Small,Small/ medium garden,Small house,Either,Yes
Deerhound,,Hound,/search/breeds-a-to-z/breeds/hound/deerhound/,/media/1909/deerhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140458360000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,Yes
Dobermann,,Working,/search/breeds-a-to-z/breeds/working/dobermann/,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Dogue de Bordeaux,,Working,/search/breeds-a-to-z/breeds/working/dogue-de-bordeaux/,/media/1920/dogue-de-bordeaux-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876290000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
English Setter,,Gundog,/search/breeds-a-to-z/breeds/gundog/english-setter/,/media/1162/english-setter-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140423940000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,Yes
English Toy Terrier (Black & Tan),,Toy,/search/breeds-a-to-z/breeds/toy/english-toy-terrier-black-tan/,/media/1627/english-toy-terrier-black-and-tan-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143804900000000,Short,Up to 30 minutes per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,Yes
Entlebucher Mountain Dog (Imp),,Working,/search/breeds-a-to-z/breeds/working/entlebucher-mountain-dog-imp/,/media/2937/entlebucher-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876880000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Medium,Large garden,Small house,Either,No
Estrela Mountain Dog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/estrela-mountain-dog/,/media/1450/estrela-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140543280000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,No
Eurasier,,Utility,/search/breeds-a-to-z/breeds/utility/eurasier/,/media/2936/eurasier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813710000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Finnish Lapphund,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/finnish-lapphund/,/media/1453/finnish-lapphund-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140543620000000,Medium,Up to 1 hour per day,Every day,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Finnish Spitz,,Hound,/search/breeds-a-to-z/breeds/hound/finnish-spitz/,/media/2938/finnish-spitz-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140458660000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,No
Fox Terrier (Smooth),,Terrier,/search/breeds-a-to-z/breeds/terrier/fox-terrier-smooth/,/media/1546/fox-terrier-smooth-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143789810000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,Yes
Fox Terrier (Wire),,Terrier,/search/breeds-a-to-z/breeds/terrier/fox-terrier-wire/,/media/1549/fox-terrier-wire-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143790130000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Foxhound,,Hound,/search/breeds-a-to-z/breeds/hound/foxhound/,/media/2940/foxhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140458960000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Large,Large garden,Large house,Country,No
French Bulldog,,Utility,/search/breeds-a-to-z/breeds/utility/french-bulldog/,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
German Longhaired Pointer,,Gundog,/search/breeds-a-to-z/breeds/gundog/german-longhaired-pointer/,/media/1163/german-longhaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140424290000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
