title,category,link,image,details_type,details
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Town or country,Country
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Size of garden,Large garden
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Size,Medium
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Exercise,More than 2 hours per day
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Size of home,Small house
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Grooming,Once a week
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Coat length,Short
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Sheds,Yes
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Lifespan,Over 10 years
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Vulnerable native breed,No
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Town or country,Country
Australian Cattle Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/,/media/1410/australian-cattle-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470550000000,Size of garden,Small/ medium garden
Airedale Terrier,Terrier,/search/breeds-a-to-z/breeds/terrier/airedale-terrier/,/media/1517/airedale-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143775620000000,Size,Medium
